time,total
Tue Dec 13 22:08:09 EST 2016,0m11.284s
Tue Dec 13 22:12:10 EST 2016,0m8.679s
Tue Dec 13 22:27:09 EST 2016,0m8.564s
Tue Dec 13 22:34:09 EST 2016,0m7.907s
Tue Dec 13 22:46:09 EST 2016,0m7.740s
Tue Dec 13 22:58:09 EST 2016,0m7.542s
Tue Dec 13 23:04:09 EST 2016,0m7.828s
Tue Dec 13 23:12:08 EST 2016,0m7.509s
Tue Dec 13 23:27:09 EST 2016,0m7.338s
Tue Dec 13 23:34:08 EST 2016,0m7.425s
Tue Dec 13 23:46:08 EST 2016,0m7.277s
Tue Dec 13 23:58:09 EST 2016,0m7.281s
Wed Dec 14 00:04:08 EST 2016,0m7.407s
Wed Dec 14 00:12:09 EST 2016,0m7.240s
Wed Dec 14 00:27:08 EST 2016,0m7.417s
Wed Dec 14 00:34:09 EST 2016,0m7.514s
Wed Dec 14 00:46:08 EST 2016,0m7.264s
Wed Dec 14 00:58:08 EST 2016,0m7.502s
Wed Dec 14 01:04:09 EST 2016,0m7.316s
Wed Dec 14 01:12:08 EST 2016,0m7.438s
Wed Dec 14 01:27:09 EST 2016,0m7.235s
Wed Dec 14 01:34:08 EST 2016,0m7.161s
Wed Dec 14 01:46:08 EST 2016,0m7.329s
Wed Dec 14 01:58:09 EST 2016,0m7.466s
Wed Dec 14 02:04:08 EST 2016,0m7.238s
Wed Dec 14 02:12:08 EST 2016,0m7.415s
Wed Dec 14 02:27:08 EST 2016,0m7.140s
Wed Dec 14 02:34:08 EST 2016,0m7.314s
Wed Dec 14 02:46:08 EST 2016,0m7.265s
Wed Dec 14 02:58:09 EST 2016,0m7.172s
Wed Dec 14 03:04:08 EST 2016,0m7.323s
Wed Dec 14 03:12:08 EST 2016,0m7.286s
Wed Dec 14 03:27:09 EST 2016,0m7.145s
Wed Dec 14 03:34:08 EST 2016,0m7.187s
Wed Dec 14 03:46:08 EST 2016,0m7.240s
Wed Dec 14 03:58:08 EST 2016,0m7.214s
Wed Dec 14 04:04:09 EST 2016,0m7.300s
Wed Dec 14 04:12:08 EST 2016,0m7.241s
Wed Dec 14 04:27:08 EST 2016,0m7.282s
Wed Dec 14 04:34:09 EST 2016,0m7.291s
Wed Dec 14 04:46:08 EST 2016,0m7.118s
Wed Dec 14 04:58:08 EST 2016,0m7.247s
Wed Dec 14 05:04:08 EST 2016,0m7.172s
Wed Dec 14 05:12:09 EST 2016,0m7.274s
Wed Dec 14 05:27:08 EST 2016,0m7.109s
Wed Dec 14 05:34:08 EST 2016,0m7.231s
Wed Dec 14 05:46:08 EST 2016,0m7.039s
Wed Dec 14 05:58:08 EST 2016,0m7.191s
Wed Dec 14 06:04:09 EST 2016,0m7.409s
Wed Dec 14 06:12:08 EST 2016,0m7.395s
Wed Dec 14 06:27:09 EST 2016,0m7.297s
Wed Dec 14 06:34:08 EST 2016,0m7.396s
Wed Dec 14 06:46:09 EST 2016,0m7.272s
Wed Dec 14 06:58:08 EST 2016,0m7.206s
Wed Dec 14 07:04:08 EST 2016,0m7.286s
Wed Dec 14 07:12:08 EST 2016,0m7.199s
Wed Dec 14 07:27:09 EST 2016,0m7.264s
Wed Dec 14 07:34:08 EST 2016,0m7.268s
Wed Dec 14 07:46:09 EST 2016,0m7.227s
Wed Dec 14 07:58:08 EST 2016,0m7.187s
Wed Dec 14 08:04:08 EST 2016,0m7.339s
Wed Dec 14 08:12:09 EST 2016,0m7.230s
Wed Dec 14 08:27:08 EST 2016,0m7.319s
Wed Dec 14 08:34:08 EST 2016,0m7.302s
Wed Dec 14 08:46:09 EST 2016,0m7.177s
Wed Dec 14 08:58:08 EST 2016,0m7.115s
Wed Dec 14 09:04:08 EST 2016,0m7.256s
Wed Dec 14 09:12:09 EST 2016,0m7.541s
Wed Dec 14 09:27:08 EST 2016,0m7.264s
Wed Dec 14 09:34:08 EST 2016,0m7.259s
Wed Dec 14 09:46:09 EST 2016,0m7.428s
Wed Dec 14 09:58:08 EST 2016,0m7.048s
Wed Dec 14 10:04:08 EST 2016,0m7.270s
Wed Dec 14 10:12:09 EST 2016,0m7.316s
Wed Dec 14 10:27:08 EST 2016,0m7.322s
Wed Dec 14 10:34:08 EST 2016,0m7.583s
Wed Dec 14 10:46:08 EST 2016,0m7.365s
Wed Dec 14 10:58:08 EST 2016,0m7.395s
Wed Dec 14 11:04:09 EST 2016,0m7.274s
Wed Dec 14 11:12:08 EST 2016,0m7.308s
Wed Dec 14 11:27:08 EST 2016,0m7.371s
Wed Dec 14 11:34:09 EST 2016,0m7.061s
Wed Dec 14 11:46:08 EST 2016,0m7.371s
Wed Dec 14 11:58:08 EST 2016,0m7.215s
